user,activity,posture,AVGNN,SDNN,MeanHR,SDHR,MinHR,MaxHR,RMSSD,NNxx,pNNxx,triangularindex,TINN,powerVLF,powerLF,powerHF,ratioHFLF
1,eat,sit,687.16,74.406,87.316,8.8208,68.353,103.7,40.048,59,13.817,11.263,312,1804.1,3734.4,771.4,4.8411
1,eat,sit,697.27,66.883,86.05,8.3807,69.849,108.74,28.871,33,7.8014,14.133,314,1168.6,2620.5,259.26,10.108
1,eat,sit,730.74,72.627,82.108,8.2673,68.151,101.25,38.742,48,11.736,21.579,392,4030.4,1796.9,577.84,3.1097
1,eat,sit,734.01,75.225,81.743,8.2433,67.099,99.602,39.318,71,17.488,20.35,375,3712.2,1586.2,672.99,2.357
1,eat,sit,792.17,91.867,75.741,8.6653,61.576,93.052,65.959,132,35.013,19.895,470,2677.3,4952.7,1596.5,3.1022
1,eat,sit,765.28,64.424,78.403,6.4802,65.789,94.877,49.38,102,26.087,15.077,308,800.9,2041.2,866.7,2.3552
1,eat,sit,809.69,63.073,74.102,5.9489,65.703,90.937,33.217,39,10.569,17.619,333,850.1,2218.6,354.75,6.254
1,eat,sit,670.13,61.362,89.534,7.9983,70.822,107.26,25.468,21,4.698,13.576,308,1672.9,1292.6,261.54,4.9424
1,eat,sit,689.33,66.301,87.041,8.0991,67.461,109.45,33.449,45,10.369,16.731,308,2555.8,2138.5,511.23,4.183
1,eat,sit,695.68,72.83,86.247,8.6818,67.325,102.42,39.086,66,15.349,17.24,361,853.46,4280.8,512.95,8.3454
1,focused-active,sit,796.74,66.79,75.307,6.4435,64.254,91.158,47.943,100,26.596,13.963,307,815.68,1690.9,793.29,2.1315
1,focused-active,sit,806.96,68.058,74.353,6.6695,65.26,93.4,48.707,90,24.259,16.909,314,1061.5,1452.8,1119.1,1.2982
1,focused-active,sit,772.11,105.05,77.709,11.343,55.918,110.21,50.756,95,24.548,18.476,479,1439.8,2185.2,948.4,2.3041
1,focused-active,sit,786.28,69.054,76.309,6.7168,64.322,91.519,42.145,76,20,18.143,364,1491.6,1708.6,567.96,3.0082
1,focused-active,sit,819.57,69.37,73.209,6.2369,59.821,87.617,40.969,75,20.604,17.381,312,2987,2678.8,450.7,5.9437
1,focused-active,sit,832.09,70.503,72.108,6.675,62.331,95.117,35.491,46,12.849,14.958,325,1487.9,1287.2,642.84,2.0024
1,focused-active,sit,745.67,45.124,80.465,4.9084,70.126,93.429,28.158,30,7.6142,12.344,227,1190.8,695.17,221.49,3.1386
1,focused-active,sit,923.4,71.477,64.977,5.2973,57.893,77.983,42.041,70,21.672,15.429,315,1868.6,1031,578.03,1.7836
1,focused-active,sit,889.48,63.23,67.455,5.2351,60.631,84.866,35.877,45,13.393,14.042,293,1010.7,1346.8,390.76,3.4466
1,focused-active,sit,880.67,60.366,68.13,4.7515,59.571,80.71,36.03,58,17.109,15.455,312,1881.8,1096.7,362.76,3.0232
1,focused-active,sit,886.98,57.816,67.645,4.6245,59.406,83.449,35.018,52,15.43,11.655,275,758.39,1292.4,403.26,3.2049
1,focused-active,sit,810.7,75.028,74.01,7.1888,61.817,91.884,34.152,49,13.208,12.828,295,3867.8,2077.4,383.69,5.4141
1,focused-active,sit,834.69,64.014,71.883,5.7639,64.212,89.074,41.059,73,20.563,15.478,301,1283.9,1399,731.58,1.9123
1,focused-active,sit,873.96,53.516,68.653,4.5898,62.867,84.341,35.167,45,13.235,12.63,269,696.61,643.73,602.16,1.069
1,focused-active,sit,839.03,71.188,71.511,7.4905,63.586,90.909,46.849,40,11.236,14.28,413,2763.3,1804.7,763.69,2.3631
1,focused-active,sit,856.73,76.184,70.033,7.2142,60.399,95.902,36.898,40,11.494,15.864,428,3027,1580.3,301.38,5.2436
1,focused-active,sit,865.83,56.607,69.298,4.894,61.894,86.856,33.528,43,12.573,13.192,278,1908.6,1543.4,508.57,3.0347
1,focused-active,sit,776.38,73.948,77.282,7.7483,63.211,103.63,31.333,37,9.6104,14.846,307,2347.1,2130.1,289.59,7.3557
1,focused-active,sit,774.73,54.504,77.447,5.5254,67.935,90.036,30.09,30,7.772,13.345,277,1041.9,1540.8,248.98,6.1882
1,focused-active,sit,774.49,55.854,77.471,5.645,66.225,90.854,29.647,30,7.7519,12.125,245,624.17,1667.9,273.77,6.0924
1,focused-active,sit,757.28,57.801,79.231,6.1754,64.007,91.185,39.476,22,5.5696,11.647,350,965.47,1324.5,301.42,4.3942
1,focused-passive,sit,717.21,71.873,83.658,8.3832,66.108,102.6,33.745,51,12.201,16.76,348,2149.8,3250.8,543.99,5.9759
1,focused-passive,sit,713.27,56.717,84.12,6.7118,70.621,100.94,31.473,31,7.3986,11.053,260,869.4,2001.5,365.06,5.4825
1,focused-passive,sit,723.98,61.654,82.876,7.2071,68.012,101.9,28.093,31,7.4699,17.333,366,1574.6,2068.2,306.67,6.744
1,leisure-passive,sit,701.24,85.18,85.563,10.179,64.272,108.54,42.524,68,16.076,20.19,403,2374.7,3658.4,943.28,3.8784
1,leisure-passive,sit,747.52,76.714,80.266,8.7616,67.598,103.31,35.738,49,12.374,22.056,356,5077,1776.4,395.14,4.4955
1,leisure-passive,sit,770.22,72.33,77.9,7.769,65.359,98.945,36.182,59,15.245,15.52,305,3879.3,1451.1,554.09,2.6189
1,leisure-passive,sit,736.59,96.94,81.456,11.015,62.919,108.7,40.354,67,16.543,22.556,460,6553.2,5146,713.47,7.2127
1,leisure-passive,sit,763.4,97.832,78.596,10.583,62.972,100.91,40.115,62,15.979,18.524,466,3403.8,2421.4,525.45,4.6083
1,leisure-passive,sit,901.51,83.594,66.555,6.5126,56.148,83.635,44.479,77,23.263,13.28,371,2234.7,1073.7,819.92,1.3096
1,leisure-passive,sit,898.1,80.071,66.808,6.6492,56.37,92.393,43.587,68,20.544,14.435,352,1645.4,1701.8,542.07,3.1395
1,leisure-passive,sit,887,80.859,67.644,6.4622,57.023,84.986,38.282,70,20.772,17.789,352,3338.9,1399.8,473.55,2.9559
1,leisure-passive,sit,910.28,77.765,65.914,6.1984,57.937,90.117,40.407,67,20.365,19.412,355,2737.3,1159.8,555.85,2.0865
1,leisure-passive,sit,844.17,76.187,71.076,6.6606,60.692,87.977,37.292,64,18.13,16.091,346,4032.6,1050.4,516.39,2.034
1,leisure-passive,sit,806.81,82.989,74.367,8.1415,61.013,93.838,44.848,86,23.118,17.762,349,2124.2,2041.7,502.76,4.061
1,leisure-passive,sit,830,69.4,72.289,6.2594,61,87.464,39.357,64,17.778,14.44,353,2033.2,1363.7,639.58,2.1322
1,leisure-passive,sit,746.55,64.601,80.37,6.8971,63.857,97.815,28.354,24,5.985,12.563,289,1802.9,1473.2,289.88,5.0821
1,leisure-passive,sit,753.13,75.68,79.668,8.321,68.012,103.13,36.658,53,13.35,23.412,400,3455.5,1820.4,525.71,3.4627
1,leisure-passive,sit,773.38,64.287,77.582,6.897,67.996,98.555,31.533,42,10.853,16.87,287,2428.6,1058.8,317.04,3.3396
1,leisure-passive,sit,799.3,65.81,75.066,6.5217,65.617,92.49,37.05,57,15.2,15.04,292,2502.5,955.46,528.51,1.8078
1,leisure-passive,sit,806.38,69.464,74.406,6.879,63.492,94.251,35.546,45,12.129,14.88,321,2453.8,848.45,559.85,1.5155
1,leisure-passive,sit,891.57,101.76,67.297,9.0137,56.001,90.627,64.24,90,27.19,16.6,549,2201.9,5614.4,871.06,6.4455
1,leisure-passive,sit,927.29,72.255,64.705,5.3466,55.597,79.831,41.279,46,14.33,16.947,402,1914.6,1960.3,574.58,3.4117
1,leisure-passive,sit,898.78,58.886,66.757,4.5236,58.377,79.402,32.355,38,11.55,16.5,282,2752.5,963.84,471.32,2.045
2,eat,sit,814.64,108.33,73.653,10.066,59.761,96.339,61.586,70,19.074,21.647,564,7051.4,2931,1400.8,2.0925
2,eat,sit,714.23,73.443,84.007,8.6157,66.138,101.83,31.246,34,8.1146,16.154,370,3791.9,773.5,428.31,1.8059
2,eat,sit,815.13,60.382,73.608,5.7661,65.048,90.361,35.418,42,11.444,16,284,1194.4,384.15,360.2,1.0665
2,eat,sit,706.42,67.851,84.936,7.5622,66.652,97.752,28.173,22,5.2009,14.133,294,1427.1,484.81,383.58,1.2639
2,eat,sit,648.75,44.64,92.486,6.4616,77.459,110.86,18.445,10,2.1692,10.744,209,1062.7,716.17,181.65,3.9426
2,eat,sit,729.71,79.375,82.224,8.434,62.67,98.814,43.287,67,16.341,17.87,397,3136.8,860.05,860.14,99.989
2,eat,sit,755.84,90.071,79.382,9.8913,62.735,105.34,46.061,75,18.939,18.905,443,2988.3,640.23,1062.6,60.253
2,eat,sit,928.71,88.722,64.606,6.9453,56.593,87.007,57.224,90,27.95,12.92,370,4363,2266.6,1181.9,1.9177
2,eat,sit,954.64,65.622,62.851,4.8408,57.471,82.759,49.719,90,28.754,14.273,340,1366.4,983.67,721.04,1.3642
2,eat,sit,961.72,80.812,62.388,5.9016,54.377,89.686,56.089,108,34.839,16.368,399,2049.1,895.89,1263,70.933
2,focused-active,sit,867.73,88.458,69.146,7.3223,57.361,88.679,58.73,100,29.07,20.294,407,3532.6,1471.1,905.71,1.6242
2,focused-active,sit,896.25,74.172,66.945,6.8714,59.892,87.093,59.488,101,30.149,12.444,458,2982.7,1384.9,1408,98.361
2,focused-active,sit,906.64,57.006,66.178,4.4152,60.533,80.407,49.855,104,31.515,11.414,294,1003.5,799.88,1236.8,64.672
2,focused-active,sit,895.52,55.546,67,4.4332,58.662,82.372,45.773,81,24.324,12.846,287,2214,725.53,732.92,98.991
2,focused-active,sit,881.48,66.812,68.068,5.4212,58.662,83.893,59.724,107,31.563,14.783,325,1058,1866.4,1514,1.2328
2,focused-active,sit,859.53,72.782,69.806,6.2016,56.904,85.155,60.374,94,27.011,14.542,424,2080.5,1688.9,1214.9,1.3901
2,focused-active,sit,819.16,69.521,73.246,6.3927,63.776,89.445,47.757,97,26.575,18.3,362,1630.8,1201.9,1370.6,87.693
2,focused-active,sit,811.42,66.908,73.945,6.1686,63.857,91.94,52.633,121,32.791,16.087,324,2329.7,2346,1825.9,1.2848
2,focused-active,sit,819.22,74.28,73.24,6.7222,60.753,93.809,47.101,74,20.274,14.64,342,1445.7,872.89,693.48,1.2587
2,focused-active,sit,844.62,79.564,71.038,7.1401,60.338,92.966,48.326,94,26.554,17.75,383,3258.5,1207.2,1072,1.1262
2,focused-passive,sit,592.59,37.714,101.25,6.4834,89.713,117.51,15.367,6,1.1881,9.9216,186,848.95,497.21,129.68,3.8341
2,focused-passive,sit,634.34,41.368,94.586,6.1999,80.021,106.99,10.672,2,42.373,10.511,184,1040.9,259.76,83.672,3.1045
2,focused-passive,sit,645.55,38.646,92.945,5.6639,81.967,107.53,11.386,1,21.552,9.6875,178,1266.8,683.47,40.052,17.064
2,focused-passive,sit,664.17,54.585,90.338,7.8,74.59,112.57,15.292,4,88.889,13.265,249,1264.6,642.9,79.109,8.1268
2,focused-passive,sit,673.78,46.035,89.05,6.3663,74.664,113.08,19.02,12,2.7027,10.114,283,1347.2,1071.8,221.42,4.8406
2,focused-passive,sit,689.69,41.297,86.996,5.3684,75.624,106.35,15.925,5,1.1521,10.357,210,1192.2,776.89,129.3,6.1986
2,focused-passive,sit,696.81,57.378,86.107,7.4179,73.547,106.76,17.59,7,1.6317,10.238,248,1186.7,835.61,118.28,7.0646
2,focused-passive,sit,704.15,50.346,85.209,6.4138,73.983,104.28,20.112,10,2.3529,11.833,228,1146.6,640.59,167.57,3.8228
2,focused-passive,sit,727.83,46.88,82.437,5.5055,70.061,103.2,21.572,12,2.9197,10.842,277,978.43,1169,182.38,6.4095
2,focused-passive,sit,727.01,55.065,82.53,6.6634,70.439,106.12,19.862,10,2.4331,10.564,261,2396.3,799.91,168.78,4.7394
2,household-chores,stand,632.9,36.669,94.801,5.4981,82.282,110.17,12.829,1,21.142,9.875,180,585.61,433.98,85.367,5.0838
2,household-chores,stand,590.96,31.872,101.53,5.5276,90.799,113.98,8.3355,0,0,7.697,136,807.2,251.76,45.085,5.5841
2,household-chores,stand,647.36,46.556,92.684,6.1613,70.588,105.56,17.909,6,1.2959,9.6667,274,1891.2,1276.8,270.4,4.7219
2,household-chores,stand,633.87,44.353,94.657,6.5016,78.023,109.41,15.474,3,63.425,10.533,207,1700.1,988.98,117.13,8.4432
2,household-chores,stand,802.4,82.766,74.776,8.468,63.158,98.912,46.232,71,19.035,14.96,370,1960.9,466.58,1032.6,45.185
2,household-chores,stand,854.65,60.755,70.204,4.9988,61.287,85.911,54.537,117,33.429,12.536,308,1026.5,1603.1,1208.2,1.3269
2,household-chores,stand,866.73,60.417,69.225,4.827,60.753,83.333,57.301,112,32.464,13.308,316,1705.5,1090.7,1474.8,73.957
2,household-chores,sit,831.54,59.768,72.155,5.3648,63.898,89.1,41.137,58,16.156,13.333,336,655.49,598.76,493.53,1.2132
2,household-chores,sit,783.85,65.905,76.545,6.6149,67.129,94.697,53.529,78,20.419,15.32,309,2783.7,1580.7,1355.8,1.1659
2,household-chores,sit,780.94,75.089,76.83,7.4656,63.506,96.061,58.346,79,20.627,19.2,395,2749,2306.1,1417.3,1.6271
2,leisure-passive,sit,823.22,77.332,72.884,7.3007,63.385,92.138,47.651,77,21.212,16.545,348,3692.7,1113.6,786.46,1.416
2,leisure-passive,sit,839.2,58.347,71.497,5.2691,64.655,90.744,52.566,129,36.134,13.259,301,752.74,726.37,1008.6,72.016
2,leisure-passive,sit,834.01,68.865,71.942,6.2575,62.854,91.408,42.819,73,20.334,16.364,336,2561.5,1042.1,760.29,1.3707
2,leisure-passive,sit,798.71,57.569,75.121,5.7234,64.935,95.147,39.59,74,19.786,12.5,277,2313.5,598.39,734.53,81.466
2,leisure-passive,sit,807.64,76.322,74.29,7.4722,63.304,100,38.589,70,18.817,17.762,367,3684.9,1007.7,677.83,1.4866
2,leisure-passive,sit,848.93,51.385,70.678,4.3606,63.506,81.699,27.74,20,5.6818,9.5405,209,1573.6,466.31,319,1.4618
2,leisure-passive,sit,755.76,72.796,79.391,8.1424,68.571,102.04,31.835,34,8.6076,18,311,2028.4,743.01,486.87,1.5261
2,leisure-passive,sit,799.54,71.707,75.043,7.2985,65.905,98.135,37.812,63,16.845,15,311,3446.6,2387,697.42,3.4225
2,leisure-passive,sit,802.29,109.66,74.786,15.159,63.952,148.18,42.232,45,12.129,16.909,540,6921,1102,515.41,2.1381
2,leisure-passive,sit,761.21,92.847,78.822,10.709,66.123,105.6,43.236,53,13.486,24.625,487,3410.3,3213.9,1053.3,3.0512
2,movement,stand,530.91,25.089,113.01,5.5023,101.97,126.65,12.969,5,89.445,6.5882,150,391.57,169.8,107.03,1.5864
2,movement,stand,535.7,21.473,112,4.4036,98.879,123.2,6.0121,0,0,5.7143,101,85.654,242.83,13.322,18.228
2,movement,stand,553.82,42.668,108.34,9.7024,85.985,142.05,36.038,10,1.8904,9.1379,340,896.06,338.81,69.415,4.881
2,movement,stand,529.54,23.121,113.31,4.9098,98.49,126.37,5.6373,0,0,6.7381,124,426.13,168.11,15.547,10.813
2,movement,stand,534.85,17.833,112.18,3.8062,104.9,123.3,4.8825,0,0,5.5,83,170.89,143.66,15.966,8.9978
2,movement,stand,609.43,69.766,98.452,13.625,79.936,143.06,30.936,5,1.0183,14.909,399,3240.4,573.18,104.71,5.4742
2,movement,stand,576.48,27.312,104.08,4.8661,92.678,115.12,9.8016,0,0,8.8136,132,373.73,93.403,21.731,4.2981
2,movement,stand,582.96,42.415,102.92,7.454,87.54,122.15,14.805,6,1.1696,9.1786,182,601.85,786.85,192.27,4.0925
2,movement,stand,578.43,34.129,103.73,6.0207,86.906,118.53,12.169,3,58.027,8.7797,186,299.22,557.18,76.431,7.2899
2,movement,stand,607.32,47.429,98.795,7.1705,77.2,112.4,16.331,9,1.8256,9.3208,266,1698.1,524.41,214.47,2.4452
2,rest-active,sit,836.05,125.78,71.766,11.704,57.692,102.18,68.312,97,27.171,25.571,626,16809,2056.2,1496.3,1.3742
2,rest-active,sit,864.81,84.358,69.379,7.5518,60.766,93.926,50.364,85,24.566,15.773,366,2315.4,1251.4,1080.3,1.1584
2,rest-active,sit,751.48,86.61,79.842,9.8757,64.809,106.23,36.285,59,14.824,14.25,325,9110.1,1717.7,514.49,3.3386
2,rest-active,sit,790.83,80.855,75.869,8.3767,65.317,99.043,44.979,84,22.222,15.792,375,2543.4,2534.5,1172.9,2.1609
2,rest-active,sit,745.48,58.767,80.485,6.3617,70.291,96,34.751,46,11.471,14.889,262,2684.6,1048.6,595.1,1.7621
2,rest-active,sit,720.68,65.122,83.255,7.9174,67.904,108.3,27.373,21,5.0481,18.13,323,3347.1,1093.4,316.86,3.4506
2,rest-active,sit,672.63,77.78,89.202,10.395,70.274,115.7,28.613,35,7.8652,12.743,311,6335.8,1447.4,327.81,4.4153
2,rest-active,sit,665.2,66.208,90.198,10.037,78.844,115.56,19.397,9,2,11.868,244,2016.7,517.15,170.89,3.0262
2,rest-active,sit,761.32,55.411,78.81,6.0625,69.284,98.296,26.661,20,5.0891,11.588,250,586.51,696.49,336.54,2.0695
2,rest-active,sit,766.74,43.404,78.253,4.5409,71.208,91.13,29.727,35,8.9744,11.5,198,598.31,421.28,421.28,99.999
2,sleep,lie,910.37,49.838,65.907,3.7231,60.265,79.915,38.151,50,15.244,9.4,283,678.12,497.03,388.23,1.2802
2,sleep,lie,890.5,69.223,67.378,5.6621,58.106,88.002,48.611,90,26.786,14.652,319,2303.9,1010.7,675.56,1.4961
2,sleep,lie,797.84,153.89,75.203,17.059,59.137,114.77,42.669,62,16.533,25.067,697,21544,1797.5,626.53,2.8689
2,sleep,lie,889.35,111.36,67.465,12.642,57.526,132.62,55.744,89,26.409,16.095,584,6365.9,1227.7,734.82,1.6707
2,sleep,lie,933.83,92.312,64.251,7.0653,55.279,84.081,46.158,75,23.438,13.957,373,3400.7,2007,590.61,3.3981
2,sleep,lie,929.16,98.379,64.575,7.4585,55.679,86.232,53.479,82,25.466,21.533,426,8103.7,2257.1,1326.2,1.7018
2,sleep,lie,972.53,107.38,61.695,7.6254,52.567,85.69,55.5,79,25.733,18.118,437,11462,4306.7,963.19,4.4713
2,sleep,lie,953.59,149.13,62.92,11.791,48.749,95.117,61.04,78,24.841,21,599,7799.1,1475.2,771.15,1.9129
2,sleep,lie,852.59,99.052,70.374,8.723,55.659,92.937,37.115,49,14,15.955,407,5622,1708.3,464.22,3.68
2,sleep,lie,896.49,106.74,66.928,8.7682,53.286,90.854,40.606,61,18.318,22.267,471,6075.6,1807.1,323.11,5.593